title,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Price
Honda Civic,132000,2008,6,Petrol,Hatchback,1.8L,Automatic,5,5,Euro 4,1900
Volkswagen Polo,127000,2015,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,3495
MINI Hatch,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,10000
BMW 3 Series,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,19800
Honda Civic,160000,2008,5,Diesel,Hatchback,2.2L,Manual,3,5,Euro 4,1000
Citroen C1,65500,2008,3,Petrol,Hatchback,1.0L,Manual,3,4,Euro 4,1490
Vauxhall Corsa,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,1950
Toyota Auris,115000,2007,6,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,1695
Hyundai i30,130000,2010,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1750
Volkswagen Polo,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5,Euro 5,2495
Honda Civic,68000,2002,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 3,1389
Ford Focus,84000,2013,0,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,4490
Honda Civic,113000,2004,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 3,990
Volvo S40,101000,2009,4,Petrol,Saloon,1.6L,Manual,4,5,Euro 4,2849
SEAT Ibiza,99061,2011,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,2799
Peugeot 308,55301,2016,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,9149
Mercedes-Benz A Class,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,15900
Ford Mondeo,84815,2003,5,Petrol,Hatchback,3.0L,Manual,5,5,Euro 4,1990
Volkswagen Polo,127000,2015,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,3495
Vauxhall Meriva,78521,2011,2,Diesel,MPV,1.3L,Manual,5,5,Euro 5,1600
Mercedes-Benz B Class,85000,2008,0,Petrol,MPV,1.5L,Manual,5,5,Euro 4,2650
Mazda Mazda3,66000,2009,0,Petrol,Saloon,1.6L,Manual,4,5,Euro 4,2990
BMW 3 Series,171090,2010,3,Petrol,Saloon,2.0L,Manual,4,5,Euro 5,2495
Nissan 350 Z,100479,2004,3,Petrol,Coupe,3.5L,Manual,2,2,Euro 3,4300
MINI Hatch,68000,2008,4,Petrol,Hatchback,1.6L,Manual,3,4,Euro 4,2499
Alfa Romeo Mito,120000,2011,2,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,1500
BMW 3 Series,113000,2009,6,Petrol,Saloon,2.0L,Manual,4,5,Euro 4,2495
SEAT Ibiza,99061,2011,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,2799
Mercedes-Benz A Class,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,15900
Vauxhall Corsa,22782,2020,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10698
Ford Focus,105000,2011,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,2950
Vauxhall Astra,71000,2012,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,3300
Renault Fluence,67104,2010,1,Diesel,Saloon,1.5L,Manual,4,5,null,2490
Peugeot 207,75000,2007,0,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,1490
Volkswagen Passat,104000,2006,0,Petrol,Saloon,3.2L,Automatic,4,5,Euro 4,2495
BMW 3 Series,75350,2005,3,Petrol,Saloon,1.8L,Automatic,4,5,Euro 3,1995
Honda Accord,22641,2006,2,Petrol,Saloon,2.0L,Manual,4,5,Euro 4,3490
BMW 3 Series,104392,2010,4,Petrol,Saloon,2.0L,Manual,4,5,Euro 5,2490
Honda Civic,104068,2010,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,2995
Vauxhall Insignia,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,2950
Vauxhall Corsa,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,1950
Vauxhall Corsa,22782,2020,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10698
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
Ford Focus,111479,2005,2,Petrol,Hatchback,1.6L,Manual,3,5,Euro 3,988
Citroen XM,126000,1995,4,Diesel,Hatchback,2.5L,Manual,5,null,Euro 2,3250
BMW 3 Series,80000,2000,0,Petrol,Saloon,1.9L,Manual,4,5,Euro 3,1389
MINI Hatch,99911,2003,4,Petrol,Hatchback,1.6L,Manual,3,4,Euro 3,1395
MINI Hatch,46000,2007,3,Petrol,Hatchback,1.6L,Manual,3,4,Euro 4,2490
Vauxhall Astra,120000,2014,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,2895
Vauxhall Antara,79000,2012,0,Diesel,SUV,2.2L,Manual,5,5,Euro 5,3289
Vauxhall Insignia,114000,2014,3,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,3799
Peugeot 207,66000,2008,3,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,2945
Nissan Note,65000,2009,3,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,2499
