title,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Price
BMW 1 Series,94300,2010,0,Petrol,Hatchback,2.0L,Manual,5,5,Euro 5,3890
Volkswagen Polo,49600,2012,0,Petrol,Hatchback,1.2L,Automatic,null,null,null,6700
Nissan Qashqai,112000,2009,0,Petrol,Hatchback,2.0L,Automatic,5,5,Euro 4,3950
Mercedes-Benz C Class,79700,2012,3,Diesel,Saloon,2.1L,Manual,4,5,Euro 5,5999
Vauxhall Astra,63495,2016,4,Petrol,Hatchback,1.0L,Manual,5,5,Euro 6,6495
BMW 3 Series,138000,2003,6,Petrol,Estate,2.2L,Automatic,5,5,Euro 3,1999
Chevrolet Aveo,89181,2013,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,2845
MINI Hatch,74700,2003,4,Petrol,Hatchback,1.6L,Automatic,3,4,Euro 3,2995
Chevrolet Captiva,97153,2013,4,Diesel,SUV,2.2L,Automatic,5,7,Euro 5,4500
Dodge Nitro,125000,2008,0,Petrol,SUV,3.7L,Automatic,5,5,Euro 4,3250
Vauxhall Corsa,56285,2015,1,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,3499
BMW X5,84500,2006,3,Diesel,SUV,3.0L,Automatic,5,5,Euro 4,4800
Ford Focus,108000,2013,0,Petrol,Estate,1.6L,Automatic,5,5,Euro 5,4499
Toyota Mark X,77000,2021,3,Petrol,Saloon,null,Automatic,null,null,null,7500
Nissan Juke,120300,2014,3,Diesel,SUV,1.5L,Manual,5,5,Euro 5,3699
Mazda Mazda6,153000,2006,3,Petrol,Hatchback,2.0L,Automatic,5,5,Euro 4,2500
Volkswagen Polo,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5,Euro 5,2495
Peugeot 308,55301,2016,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,9149
Peugeot 308 SW,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,9600
Honda Cr-v,115961,2007,0,Diesel,SUV,2.2L,Manual,5,5,Euro 4,2775
Ford KA,52000,2008,0,Petrol,Hatchback,1.3L,Manual,3,5,Euro 4,1499
Volkswagen Scirocco,87000,2008,1,Petrol,Hatchback,2.0L,Automatic,3,4,Euro 4,5950
SEAT Ibiza,84131,2012,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,3295
Toyota Auris,125998,2015,0,Petrol,Estate,1.3L,Manual,5,5,Euro 6,4490
Nissan Note,74527,2014,0,Petrol,Hatchback,1.2L,Automatic,5,5,Euro 5,6289
Vauxhall Mokka,56250,2016,1,Diesel,SUV,1.6L,Manual,5,5,Euro 6,5950
Volkswagen Polo,71000,2010,5,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 5,5500
MINI Hatch,45000,2015,0,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,7999
Peugeot 307,38563,2007,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,2490
Ford Focus,140599,2008,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,798
Vauxhall Corsa,22782,2020,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10698
BMW 3 Series,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,19800
Vauxhall Astra GTC,91000,2014,0,Petrol,Coupe,1.6L,Manual,3,5,Euro 5,4995
BMW 1 Series,48650,2015,4,Petrol,Hatchback,1.5L,Manual,3,5,Euro 6,9200
Nissan Cubic,47000,2007,3,Petrol,Hatchback,null,Manual,null,null,null,4500
KIA Picanto,12500,2012,1,Petrol,Hatchback,1.0L,Manual,3,5,Euro 5,4490
Hyundai i20,27500,2014,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,5999
BMW 1 Series,83800,2006,1,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,2599
Ford Fiesta,170000,2010,3,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,1950
Toyota Corolla,109000,2003,6,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1499
KIA Soul,80000,2009,2,Petrol,SUV,1.6L,Manual,5,5,Euro 4,2800
Ford Focus,61000,2010,3,Diesel,Hatchback,2.0L,Automatic,5,5,Euro 4,3750
Hyundai i30,130000,2010,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1750
BMW 3 Series,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,19800
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
Vauxhall Corsa,58998,2015,1,Petrol,Hatchback,1.4L,Manual,5,5,Euro 6,4940
Ford Focus,57000,2014,3,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 5,7250
BMW X1,152000,2011,4,Diesel,SUV,2.0L,Automatic,5,5,Euro 5,3290
Renault Clio,55000,2013,4,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,3275
MINI Hatch,92200,2008,2,Petrol,Hatchback,1.6L,Manual,3,4,Euro 4,2495
BMW 3 Series,185000,2012,5,Diesel,Saloon,2.0L,Manual,4,5,Euro 5,4495
Nissan Pathfinder,135607,2006,5,Diesel,SUV,2.5L,Automatic,5,7,Euro 4,3000
Nissan Note,97000,2014,2,Petrol,Hatchback,1.2L,Automatic,5,5,Euro 5,5500
Nissan Juke,108600,2013,1,Petrol,SUV,1.6L,Manual,5,5,Euro 5,4225
BMW 1 Series,58264,2013,4,Petrol,Hatchback,1.6L,Manual,5,5,Euro 6,6995
Vauxhall Insignia,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,2950
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
Mercedes-Benz A Class,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,15900
Ford Fiesta,95000,2010,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,2999
Vauxhall Astra GTC,77700,2014,4,Petrol,Coupe,1.4L,Manual,3,5,Euro 5,4250
Vauxhall Corsa,29809,2003,3,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,1890
Fiat 500,62000,2010,0,Petrol,Hatchback,1.2L,Manual,3,4,Euro 5,3989
BMW 3 Series,87000,2005,5,Petrol,Coupe,2.0L,Manual,2,5,Euro 3,3995
BMW 1 Series,105950,2012,2,Diesel,Hatchback,2.0L,Manual,5,5,Euro 5,3900
Renault Megane,51200,2008,0,Petrol,Saloon,1.6L,Automatic,4,5,Euro 4,2495
Volkswagen Golf Plus,90960,2008,4,Diesel,Hatchback,1.9L,Manual,5,5,Euro 4,2490
Honda Civic,107000,2006,6,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,2250
Vauxhall Corsa,61805,2009,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 4,2395
Peugeot 207,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,1299
Mercedes-Benz A Class,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,15900
Vauxhall Corsa,22782,2020,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10698
Volkswagen Polo,42500,2002,2,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 4,2975
Citroen C1,95811,2011,3,Petrol,Hatchback,1.0L,Manual,3,4,Euro 5,1750
Ford KA,40000,2007,6,Petrol,Hatchback,1.3L,Manual,3,5,Euro 4,1595
Citroen C4 Cactus,92000,2016,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,6399
Citroen C4,70000,2007,0,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,2295
SEAT Ibiza,99061,2011,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,2799
Honda Civic,78691,2018,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,9198
Vauxhall Corsa,22782,2020,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10698
Mazda CX-5,127900,2014,3,Diesel,SUV,2.2L,Automatic,5,5,Euro 6,4900
Chevrolet Cruze,108000,2011,0,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 5,3495
Volkswagen Polo,76649,2010,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,4990
MINI Hatch,94000,2015,0,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,5995
MINI Convertible,79000,2008,0,Petrol,Convertible,1.6L,Manual,2,4,Euro 3,2449
Mercedes-Benz A Class,120000,2015,3,Diesel,Hatchback,2.1L,Manual,5,5,Euro 6,5200
Toyota Corolla,42817,2019,1,Petrol Hybrid,Hatchback,1.8L,Automatic,5,5,Euro 6,13990
MINI Hatch,61385,2018,1,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,9495
Toyota RAV4,49000,2011,1,Diesel,SUV,2.2L,Automatic,5,5,Euro 5,8990
Hyundai i20,51082,2017,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,7795
Vauxhall Insignia,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,2950
Vauxhall Corsa,22782,2020,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10698
Vauxhall Corsa,22782,2020,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,10698
Vauxhall Meriva,61000,2011,2,Petrol,MPV,1.4L,Manual,5,5,Euro 5,3100
Vauxhall Corsa,30000,2014,1,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,6199
Vauxhall Insignia,138717,2016,3,Diesel,Hatchback,1.6L,Automatic,5,5,Euro 6,3990
Honda Civic,52500,2009,0,Petrol,Hatchback,1.8L,Automatic,5,5,Euro 5,5490
Mercedes-Benz C Class,80429,2012,5,Petrol,Coupe,1.6L,Automatic,2,4,Euro 5,8990
Chrysler 300C,109000,2006,0,Petrol,Saloon,3.5L,Automatic,4,5,Euro 4,3495
Honda Freed,80000,2012,1,Petrol Hybrid,MPV,1.5L,Automatic,5,6,null,6700
Ford Focus,60000,2007,2,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,2495
Renault Megane,75000,2010,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,2499
Mercedes-Benz C Class,115000,2007,0,Petrol,Saloon,2.5L,Automatic,4,5,Euro 4,3800
Peugeot 207,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,1299
BMW 3 Series,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,19800
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
Ford Fiesta,117000,2005,0,Diesel,Hatchback,1.4L,Manual,5,5,Euro 4,1389
Volkswagen Golf,136331,2005,4,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,1895
Mercedes-Benz B Class,125200,2006,5,Petrol,MPV,1.7L,Automatic,5,5,Euro 4,2275
Honda Legend,94000,2001,2,Petrol,Saloon,3.5L,Automatic,4,5,Euro 2,3000
BMW 3 Series,105000,1999,7,Petrol,Coupe,2.5L,Manual,2,null,Euro 2,6700
Volkswagen Golf Plus,81000,2010,2,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,3799
Vauxhall Corsa,64992,2015,0,Petrol,Hatchback,1.4L,Manual,3,5,Euro 6,5995
Dacia Sandero,62000,2016,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,3400
Ford Fiesta,81000,2011,5,Petrol,Hatchback,1.3L,Manual,5,5,Euro 5,3499
Volkswagen Golf,150662,2009,1,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,2750
Volkswagen Polo,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5,Euro 5,2495
SKODA Fabia,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5,Euro 6,6900
SKODA Fabia,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5,Euro 6,6900
Vauxhall Corsa,55000,2014,4,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,2240
Vauxhall Zafira,116700,2010,4,Petrol,MPV,1.6L,Manual,5,7,Euro 4,1950
Mercedes-Benz E Class,95257,2011,3,Diesel,Saloon,2.1L,Automatic,4,5,Euro 5,4000
BMW 3 Series,106708,2008,5,Petrol,Convertible,2.0L,Manual,2,4,Euro 4,2999
Ford Focus,90207,2009,3,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,2100
Hyundai i20,81585,2009,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 4,2499
Vauxhall Insignia,115000,2009,5,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,1990
Vauxhall Meriva,91500,2015,3,Diesel,MPV,1.7L,Automatic,5,5,Euro 5,4250
Ford Focus,81426,2014,6,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 5,4300
Volkswagen Polo,76221,2013,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,5500
Ford Focus,105000,2011,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,2950
SKODA Fabia,70189,2016,3,Diesel,Hatchback,1.4L,Manual,5,5,Euro 6,6900
Peugeot 308 SW,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,9600
Vauxhall Corsa,103000,2013,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,2995
BMW 3 Series,65000,2011,2,Diesel,Estate,2.0L,Manual,5,5,Euro 5,5500
Volkswagen Golf,109886,2009,3,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,2995
Peugeot 308,36000,2016,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,8799
Nissan Elgrand,96000,2017,3,Petrol,Minibus,2.0L,Automatic,null,7,null,4200
Vauxhall Corsa,113790,2013,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,2440
MINI Hatch,70752,2010,0,Petrol,Hatchback,1.6L,Manual,3,4,Euro 5,6995
Nissan Juke,69000,2013,2,Petrol,SUV,1.6L,Manual,5,5,Euro 5,5990
Honda Civic,138000,2008,0,Petrol,Hatchback,1.8L,Manual,3,5,Euro 4,2495
Vauxhall Corsa,79987,2011,0,Petrol,Hatchback,1.2L,Automatic,3,5,Euro 5,2395
Hyundai i30,130000,2010,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1750
Peugeot 308 SW,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,9600
Peugeot 308 SW,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,9600
SEAT Ibiza,95000,2010,0,Petrol,Hatchback,1.4L,Automatic,3,5,Euro 5,3949
Mitsubishi Colt,70000,2007,0,Petrol,Hatchback,1.1L,Manual,3,5,Euro 4,1795
SKODA Superb,82000,2011,4,Petrol,Estate,1.8L,Manual,5,5,Euro 5,5999
Audi A4,68157,2010,3,Petrol,Saloon,1.8L,Manual,4,5,Euro 4,4995
Mercedes-Benz A Class,58383,2016,0,Diesel,Hatchback,2.1L,Automatic,5,5,Euro 6,13495
Vauxhall Astra,137000,2007,1,Petrol,Hatchback,2.0L,Manual,3,5,Euro 4,2750
Toyota Yaris,52624,2013,1,Petrol,Hatchback,1.3L,Automatic,5,5,null,5480
Vauxhall Corsa,31584,2018,2,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 6,9820
Mazda Mazda6,128000,2008,0,Petrol,Hatchback,2.0L,Automatic,5,5,Euro 4,3250
Ford Focus,90000,2003,2,Petrol,Hatchback,2.0L,Automatic,5,5,Euro 3,2495
Peugeot 207,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,999
MINI Hatch,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,10000
BMW 3 Series,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,19800
Peugeot 508,96000,2016,0,Diesel,Saloon,1.6L,Manual,4,5,Euro 6,7490
Fiat 500,81000,2012,0,Petrol,Hatchback,1.2L,Manual,3,4,Euro 5,3745
Vauxhall Corsa,102000,2010,0,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,1800
Vauxhall Corsa,20413,2020,0,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,12000
Volkswagen Golf,82000,2007,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,3495
BMW X5,95000,2007,0,Diesel,SUV,3.0L,Automatic,5,5,Euro 4,6450
Volkswagen EOS,89600,2006,5,Petrol,Convertible,3.2L,Automatic,2,4,Euro 4,4000
Ford Focus,147601,2005,0,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,2200
BMW 3 Series,112000,2004,5,Petrol,Coupe,3.0L,Automatic,2,5,Euro 3,5999
Ford Fiesta,85000,2009,5,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,3495
Volkswagen Polo,127000,2015,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,3495
Peugeot 308 SW,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,9600
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
Ford Fiesta,96651,2011,1,Petrol,Hatchback,1.3L,Manual,3,5,Euro 5,2395
MINI Hatch,105500,2012,1,Petrol,Hatchback,1.6L,Automatic,3,4,Euro 5,5950
Ford Mondeo,42000,2008,0,Petrol,Hatchback,2.0L,Manual,5,5,Euro 4,2495
BMW 3 Series,105202,2006,8,Petrol,Coupe,3.0L,Automatic,2,5,Euro 4,3995
Toyota Corolla,57000,2004,5,Petrol,Hatchback,1.6L,Manual,3,5,Euro 4,2145
SKODA Fabia,33000,2005,3,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 4,2500
SKODA Rapid Spaceback,81000,2015,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,6699
Chrysler Ypsilon,100000,2012,4,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,2250
Audi A5,50000,2015,0,Diesel,Coupe,2.0L,Manual,2,4,Euro 6,14299
Land Rover Range Rover Evoque,49068,2019,0,Diesel,SUV,2.0L,Manual,5,5,Euro 6,19698
Ford Focus,140599,2008,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,798
Peugeot 308,55301,2016,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,9149
Peugeot 308 SW,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,9600
Volkswagen Golf,49400,2010,3,Diesel,Hatchback,2.0L,Manual,5,5,Euro 5,5300
Saab 900,157000,1992,5,Petrol,Convertible,2.0L,Manual,2,null,Euro 1,5995
Mercedes-Benz C Class,100000,2008,1,Petrol,Saloon,1.8L,Automatic,4,5,Euro 4,4495
Ford Fiesta,76438,2010,3,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,2900
Audi A3,64800,2009,3,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,4100
Citroen C3,70791,2006,0,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,2399
BMW 7 Series,189000,2008,5,Diesel,Saloon,3.0L,Automatic,4,5,Euro 4,2600
Renault Scenic,36878,2006,2,Petrol,MPV,1.6L,Automatic,5,5,Euro 4,2995
Nissan Juke,68000,2014,2,Diesel,SUV,1.5L,Manual,5,5,Euro 5,6399
Peugeot 308,84066,2011,4,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,2999
Ford Focus,105000,2011,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,2950
Ford Focus,86500,2017,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,8975
Ford Focus,86500,2017,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,8975
Vauxhall Corsa,74000,2009,3,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 4,3850
Toyota Yaris,62000,2007,0,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,3250
Honda Accord,118000,2005,2,Petrol,Saloon,2.4L,Automatic,4,5,Euro 4,2497
Mazda Mazda3,36000,2006,1,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,3499
Mitsubishi ASX,124000,2013,3,Petrol,SUV,1.6L,Manual,5,5,Euro 5,4495
Mercedes-Benz A Class,97000,2015,4,Diesel,Hatchback,1.5L,Manual,5,5,Euro 5,5500
Mercedes-Benz CLK,104000,2006,0,Petrol,Coupe,1.8L,Automatic,2,4,Euro 4,3800
Toyota Avensis,106250,2008,0,Petrol,Saloon,1.8L,Automatic,4,5,Euro 4,3785
BMW 1 Series,63000,2016,2,Petrol,Hatchback,1.5L,Manual,3,5,Euro 6,10799
Nissan Qashqai+2,71000,2011,2,Diesel,SUV,1.5L,Manual,5,7,Euro 5,3999
Peugeot 207,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,999
Ford Focus,86500,2017,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,8975
Peugeot 308,55301,2016,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,9149
MINI Hatch,132000,2006,7,Petrol,Hatchback,1.6L,Manual,3,4,Euro 4,2100
Nissan Micra,96195,2006,0,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 4,2395
Volkswagen Golf,78656,2007,5,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,3750
Volkswagen Golf,120000,2004,6,Petrol,Hatchback,2.0L,Manual,3,5,Euro 4,1995
Volkswagen Beetle,72370,2006,3,Petrol,Hatchback,1.4L,Manual,3,4,Euro 4,1790
Ford Focus,32331,2014,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,4950
Volkswagen Beetle,1110100,2003,4,Petrol,Hatchback,2.0L,Automatic,3,4,Euro 4,2495
Honda Jazz,33000,2013,0,Petrol Hybrid,Hatchback,1.5L,Automatic,null,5,null,6750
Ford B-max,114850,2015,1,Petrol,MPV,1.6L,Automatic,5,5,Euro 5,4990
Ford Mondeo,121480,2007,3,Petrol,Hatchback,2.3L,Automatic,5,5,Euro 4,2500
SEAT Ibiza,99061,2011,0,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,2799
Peugeot 308,55301,2016,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,9149
Ford Focus,86500,2017,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,8975
Ford Focus,62037,2014,2,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,5500
Chevrolet Spark,45000,2012,4,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,2495
Suzuki Alto,64269,2012,0,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,2495
Toyota Aygo,39000,2014,5,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,2995
Honda Civic,83000,2005,5,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 3,2499
Renault Clio,74653,2015,3,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,5495
Fiat 500,22116,2015,1,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,6740
Lexus IS 250,106150,2007,0,Petrol,Saloon,2.5L,Automatic,4,5,Euro 4,4895
Volkswagen Polo,66000,2011,1,Petrol,Hatchback,1.2L,Automatic,5,5,null,6495
Volkswagen Golf,110000,1996,0,Petrol,Convertible,2.0L,Manual,2,null,Euro 1,1250
Volkswagen Polo,127000,2015,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,3495
Mercedes-Benz A Class,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,15900
Ford Focus,86500,2017,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,8975
Vauxhall Astra,75000,2013,0,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,3995
Volkswagen Polo,53193,2011,0,Petrol,Hatchback,1.2L,Automatic,null,5,null,6450
Peugeot 306,25240,1997,3,Petrol,Hatchback,1.4L,Manual,5,5,Euro 2,2695
BMW 3 Series,94000,2007,2,Petrol,Saloon,2.5L,Automatic,null,null,null,4000
Toyota Yaris,111555,2007,4,Petrol,Hatchback,1.8L,Manual,3,5,Euro 4,1975
Peugeot 208,58700,2017,2,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,5530
Ford Fiesta,120000,2012,0,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,2289
Toyota Yaris,121600,2008,4,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,2495
Volkswagen Phaeton,98000,2006,0,Petrol,Saloon,3.2L,Automatic,4,5,Euro 4,2889
Volkswagen Polo,127000,2015,0,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,3495
Ford Focus,86500,2017,0,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,8975
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
Ford Fiesta,77935,2008,4,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,2490
Volkswagen Beetle,84500,2009,0,Petrol,Hatchback,1.6L,Manual,3,4,Euro 4,2490
Hyundai i30,87000,2013,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,4995
Volkswagen Golf,96866,2011,2,Diesel,Hatchback,1.6L,Automatic,5,5,Euro 5,4450
Lexus CT 200h,140000,2011,6,Petrol Hybrid,Hatchback,1.8L,Automatic,5,5,Euro 5,5950
Vauxhall Astra GTC,58000,2014,0,Petrol,Coupe,1.4L,Manual,3,5,Euro 5,5699
Hyundai ix35,59858,2012,2,Diesel,SUV,1.7L,Manual,5,5,Euro 5,5490
Fiat 500,55000,2015,0,Petrol,Hatchback,1.2L,Manual,3,4,Euro 6,6599
Volkswagen Polo,75818,2013,4,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,5450
Ford Fiesta,90400,2012,1,Petrol,Hatchback,1.3L,Manual,5,5,Euro 5,3230
Vauxhall Corsa,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,1950
KIA Sportage,50028,2016,0,Petrol,SUV,1.6L,Manual,5,5,Euro 6,10198
BMW 3 Series,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,19800
KIA Sportage,50000,2014,1,Petrol,SUV,1.6L,Manual,5,5,Euro 5,8490
Audi A3,82147,2009,0,Petrol,Hatchback,1.8L,Automatic,3,5,Euro 4,6295
Toyota Yaris,30000,2008,1,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,4690
Toyota Prius,145000,2016,3,Petrol Hybrid,Saloon,1.5L,Automatic,4,5,null,5949
Volkswagen Golf,113400,2007,4,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,2495
Audi A1,50500,2012,0,Petrol,Hatchback,null,Automatic,3,4,null,7995
Nissan Murano,118000,2010,0,Petrol,SUV,3.5L,Automatic,5,5,Euro 4,4950
Audi A3,125000,2005,3,Diesel,Hatchback,2.0L,Manual,5,5,Euro 4,2249
BMW 5 Series,113000,2014,3,Diesel,Saloon,2.0L,Automatic,4,5,Euro 6,7900
Vauxhall Astra,100570,2005,2,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,1975
Vauxhall Insignia,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,2950
BMW 3 Series,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,19800
MINI Hatch,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,10000
Toyota RAV4,87738,2006,0,Petrol,SUV,2.0L,Manual,5,5,Euro 4,3495
Volkswagen Golf,74100,2010,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,3889
MINI Hatch,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,10000
Ford Fiesta,70000,2004,0,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,1480
Peugeot 208,90000,2012,4,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,3995
